[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] 🚀  Start image=gitbugactions:latest
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   🐳  docker pull image=gitbugactions:latest platform= username= forcePull=false
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   🐳  docker create image=gitbugactions:latest platform= entrypoint=["tail" "-f" "/dev/null"] cmd=[]
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   🐳  docker run image=gitbugactions:latest platform= entrypoint=["tail" "-f" "/dev/null"] cmd=[]
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   🐳  docker exec cmd=[chown -R 1012:1013 /tmp/1d534ce9-0f52-4239-95e2-0e95dcb66693] user=0 workdir=
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] ⭐ Run Main actions/checkout@v1
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   🐳  docker cp src=/tmp/1d534ce9-0f52-4239-95e2-0e95dcb66693/. dst=/tmp/1d534ce9-0f52-4239-95e2-0e95dcb66693
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   🐳  docker exec cmd=[chown -R 1012:1013 /tmp/1d534ce9-0f52-4239-95e2-0e95dcb66693] user=0 workdir=
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   ✅  Success - Main actions/checkout@v1
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] ⭐ Run Main Check Style
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style] unable to get git ref: failed to identify reference (tag/branch) for the checked-out revision '832de67a1eec16a61df4ab1efcc6e3658d5a038a'
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   🐳  docker exec cmd=[bash --noprofile --norc -e -o pipefail /var/run/act/workflow/1.sh] user= workdir=
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | Apache Maven 3.8.8 (4c87b05d9aedce574290d1acc98575ed5eb6cd39)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-netty-shaded/1.55.3/grpc-netty-shaded-1.55.3.pom (2.0 kB at 248 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/perfmark/perfmark-api/0.26.0/perfmark-api-0.26.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/perfmark/perfmark-api/0.26.0/perfmark-api-0.26.0.pom (1.5 kB at 87 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-core/1.55.3/grpc-core-1.55.3.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-core/1.55.3/grpc-core-1.55.3.pom (2.5 kB at 360 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/google/android/annotations/4.1.1.4/annotations-4.1.1.4.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/google/android/annotations/4.1.1.4/annotations-4.1.1.4.pom (1.8 kB at 184 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.23/animal-sniffer-annotations-1.23.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.23/animal-sniffer-annotations-1.23.pom (1.7 kB at 237 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/codehaus/mojo/animal-sniffer-parent/1.23/animal-sniffer-parent-1.23.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/codehaus/mojo/animal-sniffer-parent/1.23/animal-sniffer-parent-1.23.pom (5.9 kB at 661 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/codehaus/mojo/mojo-parent/74/mojo-parent-74.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/codehaus/mojo/mojo-parent/74/mojo-parent-74.pom (36 kB at 3.6 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/junit/junit-bom/5.9.2/junit-bom-5.9.2.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/junit/junit-bom/5.9.2/junit-bom-5.9.2.pom (5.6 kB at 704 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-stub/1.55.3/grpc-stub-1.55.3.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-stub/1.55.3/grpc-stub-1.55.3.pom (1.8 kB at 149 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-googleapis/1.55.3/grpc-googleapis-1.55.3.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-googleapis/1.55.3/grpc-googleapis-1.55.3.pom (2.1 kB at 264 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-xds/1.55.3/grpc-xds-1.55.3.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-xds/1.55.3/grpc-xds-1.55.3.pom (3.4 kB at 373 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/opencensus/opencensus-proto/0.2.0/opencensus-proto-0.2.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/opencensus/opencensus-proto/0.2.0/opencensus-proto-0.2.0.pom (1.9 kB at 192 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-services/1.55.3/grpc-services-1.55.3.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-services/1.55.3/grpc-services-1.55.3.pom (2.3 kB at 291 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/google/re2j/re2j/1.6/re2j-1.6.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/google/re2j/re2j/1.6/re2j-1.6.pom (933 B at 78 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-rls/1.55.3/grpc-rls-1.55.3.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-rls/1.55.3/grpc-rls-1.55.3.pom (2.2 kB at 180 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/microsoft/azure/azure-storage/5.0.0/azure-storage-5.0.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/microsoft/azure/azure-storage/5.0.0/azure-storage-5.0.0.pom (4.8 kB at 373 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/slf4j/slf4j-api/2.0.6/slf4j-api-2.0.6.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/slf4j/slf4j-api/2.0.6/slf4j-api-2.0.6.pom (1.6 kB at 230 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/slf4j/slf4j-parent/2.0.6/slf4j-parent-2.0.6.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/slf4j/slf4j-parent/2.0.6/slf4j-parent-2.0.6.pom (17 kB at 1.3 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/commons/commons-lang3/3.12.0/commons-lang3-3.12.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/commons/commons-lang3/3.12.0/commons-lang3-3.12.0.pom (31 kB at 3.1 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/junit/junit-bom/5.7.1/junit-bom-5.7.1.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/junit/junit-bom/5.7.1/junit-bom-5.7.1.pom (5.1 kB at 637 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/microsoft/azure/azure-keyvault-core/0.8.0/azure-keyvault-core-0.8.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/microsoft/azure/azure-keyvault-core/0.8.0/azure-keyvault-core-0.8.0.pom (2.4 kB at 472 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/microsoft/azure/azure/0.8.0/azure-0.8.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/microsoft/azure/azure/0.8.0/azure-0.8.0.pom (15 kB at 1.1 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/microsoft/azure/azure-bom/0.8.0/azure-bom-0.8.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/microsoft/azure/azure-bom/0.8.0/azure-bom-0.8.0.pom (3.1 kB at 346 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/nimbusds/nimbus-jose-jwt/9.21/nimbus-jose-jwt-9.21.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/nimbusds/nimbus-jose-jwt/9.21/nimbus-jose-jwt-9.21.pom (12 kB at 1.7 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/github/stephenc/jcip/jcip-annotations/1.0-1/jcip-annotations-1.0-1.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/github/stephenc/jcip/jcip-annotations/1.0-1/jcip-annotations-1.0-1.pom (5.4 kB at 905 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/yammer/metrics/metrics-core/2.2.0/metrics-core-2.2.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/yammer/metrics/metrics-core/2.2.0/metrics-core-2.2.0.pom (1.3 kB at 139 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/yammer/metrics/metrics-parent/2.2.0/metrics-parent-2.2.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/yammer/metrics/metrics-parent/2.2.0/metrics-parent-2.2.0.pom (10 kB at 722 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/yammer/metrics/metrics-servlet/2.2.0/metrics-servlet-2.2.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/yammer/metrics/metrics-servlet/2.2.0/metrics-servlet-2.2.0.pom (1.6 kB at 117 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/commons-io/commons-io/2.11.0/commons-io-2.11.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/commons-io/commons-io/2.11.0/commons-io-2.11.0.pom (20 kB at 1.8 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/junit/junit-bom/5.7.2/junit-bom-5.7.2.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/junit/junit-bom/5.7.2/junit-bom-5.7.2.pom (5.1 kB at 463 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/javax/servlet/javax.servlet-api/3.1.0/javax.servlet-api-3.1.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/javax/servlet/javax.servlet-api/3.1.0/javax.servlet-api-3.1.0.pom (14 kB at 2.3 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/net/minidev/json-smart/2.4.9/json-smart-2.4.9.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/net/minidev/json-smart/2.4.9/json-smart-2.4.9.pom (9.2 kB at 1.0 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/net/minidev/accessors-smart/2.4.9/accessors-smart-2.4.9.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/net/minidev/accessors-smart/2.4.9/accessors-smart-2.4.9.pom (11 kB at 1.6 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/ow2/asm/asm/9.3/asm-9.3.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/ow2/asm/asm/9.3/asm-9.3.pom (2.4 kB at 237 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/ow2/ow2/1.5/ow2-1.5.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/ow2/ow2/1.5/ow2-1.5.pom (11 kB at 1.1 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/net/snowflake/snowflake-common/5.1.4/snowflake-common-5.1.4.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/net/snowflake/snowflake-common/5.1.4/snowflake-common-5.1.4.pom (2.9 kB at 223 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/arrow/arrow-memory-core/10.0.1/arrow-memory-core-10.0.1.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/arrow/arrow-memory-core/10.0.1/arrow-memory-core-10.0.1.pom (3.4 kB at 309 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/arrow/arrow-memory/10.0.1/arrow-memory-10.0.1.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/arrow/arrow-memory/10.0.1/arrow-memory-10.0.1.pom (1.4 kB at 202 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/arrow/arrow-java-root/10.0.1/arrow-java-root-10.0.1.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/arrow/arrow-java-root/10.0.1/arrow-java-root-10.0.1.pom (45 kB at 6.4 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/apache/18/apache-18.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/apache/18/apache-18.pom (16 kB at 2.6 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-bom/2.13.4/jackson-bom-2.13.4.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-bom/2.13.4/jackson-bom-2.13.4.pom (17 kB at 2.5 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-parent/2.13/jackson-parent-2.13.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-parent/2.13/jackson-parent-2.13.pom (7.4 kB at 742 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/fasterxml/oss-parent/43/oss-parent-43.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/fasterxml/oss-parent/43/oss-parent-43.pom (24 kB at 3.4 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/google/guava/guava-bom/31.1-jre/guava-bom-31.1-jre.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/google/guava/guava-bom/31.1-jre/guava-bom-31.1-jre.pom (1.7 kB at 131 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-bom/1.49.1/grpc-bom-1.49.1.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/grpc/grpc-bom/1.49.1/grpc-bom-1.49.1.pom (5.1 kB at 361 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/google/protobuf/protobuf-bom/3.21.6/protobuf-bom-3.21.6.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/google/protobuf/protobuf-bom/3.21.6/protobuf-bom-3.21.6.pom (3.5 kB at 589 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/arrow/arrow-vector/10.0.1/arrow-vector-10.0.1.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/arrow/arrow-vector/10.0.1/arrow-vector-10.0.1.pom (10 kB at 847 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/arrow/arrow-format/10.0.1/arrow-format-10.0.1.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/arrow/arrow-format/10.0.1/arrow-format-10.0.1.pom (1.8 kB at 107 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/google/flatbuffers/flatbuffers-java/1.12.0/flatbuffers-java-1.12.0.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/google/flatbuffers/flatbuffers-java/1.12.0/flatbuffers-java-1.12.0.pom (4.6 kB at 381 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/fasterxml/jackson/datatype/jackson-datatype-jsr310/2.14.2/jackson-datatype-jsr310-2.14.2.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/fasterxml/jackson/datatype/jackson-datatype-jsr310/2.14.2/jackson-datatype-jsr310-2.14.2.pom (4.9 kB at 327 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/fasterxml/jackson/module/jackson-modules-java8/2.14.2/jackson-modules-java8-2.14.2.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/fasterxml/jackson/module/jackson-modules-java8/2.14.2/jackson-modules-java8-2.14.2.pom (3.1 kB at 282 kB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/netty/netty-common/4.1.82.Final/netty-common-4.1.82.Final.pom
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/netty/netty-common/4.1.82.Final/netty-common-4.1.82.Final.pom (12 kB at 1.1 MB/s)
[3780b04c-8a67-410a-a3d4-853b9c2155da/Check Style]   | [INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.1.82.Final/netty-parent-4.1.82.Final.pom
